O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
19-2099.01,Remote Sensing Scientists and Technologists,3.3355428571428574,2.3192,2.4522285714285714,1.4691999999999998,1.592457142857143
19-3011.00,Economists,3.4870857142857146,2.06,2.645714285714285,1.0206285714285714,1.0065142857142857
19-3011.01,Environmental Economists,3.1922714285714284,2.2857142857142856,2.2857142857142856,1.147857142857143,1.0004
19-3022.00,Survey Researchers,3.080457142857143,1.9842857142857144,2.275,1.1408,1.0292
19-3032.00,Industrial-Organizational Psychologists,2.814057142857143,2.645714285714285,2.748571428571428,1.1408,1.0
19-3033.00,Clinical and Counseling Psychologists,3.106514285714286,2.3192,2.571428571428571,1.0549142857142857,1.0102857142857142
19-3034.00,School Psychologists,2.1334857142857144,2.0,2.023657142857143,1.0549142857142857,1.0042857142857142
19-3039.02,Neuropsychologists,2.451257142857143,2.096342857142857,2.205357142857143,1.0549142857142857,1.062857142857143
19-3039.03,Clinical Neuropsychologists,2.416528571428572,2.096342857142857,2.2471428571428573,1.0803571428571428,1.0402
19-3041.00,Sociologists,3.751785714285714,2.1750857142857143,2.2471428571428573,1.0549142857142857,1.0007142857142857
19-3051.00,Urban and Regional Planners,3.267428571428572,2.2857142857142856,2.542057142857143,1.0992,1.1097142857142857
19-3091.00,Anthropologists and Archeologists,3.4975,1.9842857142857144,2.571428571428571,1.0442857142857145,1.0274857142857143
19-3092.00,Geographers,3.2285714285714286,2.023657142857143,2.125,1.0803571428571428,1.3367857142857142
19-3093.00,Historians,1.9788142857142856,1.8057142857142856,2.1635714285714283,1.0357142857142856,1.0809285714285717
19-3094.00,Political Scientists,3.556314285714286,2.06,2.1357142857142857,1.0442857142857145,1.000457142857143
19-3099.01,Transportation Planners,3.1785714285714284,2.4971428571428573,2.7142857142857144,1.0885714285714283,1.2625
