Column,Correlation,AbsCorrelation,Correlation Rank,AbsCorrelation Rank
Upholstery Material_Part leather,0.027841696733545182,0.027841696733545182,61,104
Emission Class_Euro 6d-TEMP,0.027620786583199438,0.027620786583199438,62,105
LED Daytime Running Lights,0.027477722854919007,0.027477722854919007,63,106
Wind deflector,0.02727753836837517,0.02727753836837517,64,107
Body Type_Off-Road,0.027151610902240896,0.027151610902240896,65,108
Touch screen,0.027020734816027615,0.027020734816027615,66,109
Upholstery Material_alcantara,0.02668236003337257,0.02668236003337257,67,110
Driver-side airbag,-0.02639896000729149,0.02639896000729149,129,111
Country version_European Union,-0.026246351592110282,0.026246351592110282,128,112
Body Type_Station wagon,0.026020740642306802,0.026020740642306802,68,113
Sport seats,-0.024438736389962416,0.024438736389962416,127,114
Parking assist system sensors rear,-0.023653129081006096,0.023653129081006096,126,115
Start-stop system,-0.023429666174466304,0.023429666174466304,125,116
Body Color_Other,0.0226148629937097,0.0226148629937097,69,117
Body Type_Other,-0.02117270061126174,0.02117270061126174,124,118
Country version_Hungary,-0.019800871949191206,0.019800871949191206,123,119
Body Type_Transporter,0.019565663263435385,0.019565663263435385,70,120
Trailer hitch,0.018710736066946967,0.018710736066946967,71,121
Country version_Italy,0.017654114568796536,0.017654114568796536,72,122
Ski bag,-0.017065593064191316,0.017065593064191316,122,123
Country version_Czech Republic,-0.01688768677606471,0.01688768677606471,121,124
Lumbar support,0.01672323096424118,0.01672323096424118,73,125
Emission Label_3 (Yellow),0.016461344597107512,0.016461344597107512,74,126
Emission Class_Euro 6d,0.016449612970515035,0.016449612970515035,75,127
Hill Holder,-0.015453511250125049,0.015453511250125049,120,128
Handicapped enabled,0.015219846909088152,0.015219846909088152,76,129
Alloy wheels,0.014475007743271423,0.014475007743271423,77,130
Country version_Belgium,0.013760813002325433,0.013760813002325433,78,131
Emission Label_4 (Green),0.013023053184366595,0.013023053184366595,79,132
Park Distance Control,-0.012013133001663866,0.012013133001663866,119,133
Right hand drive,0.011792735734873775,0.011792735734873775,80,134
Emission Class_Euro 5,0.011698704549062876,0.011698704549062876,81,135
Type_Pre-registered,-0.011017401343056399,0.011017401343056399,118,136
Upholstery Color_Other,0.010750539596189166,0.010750539596189166,82,137
Emission Label_5 (Blue),-0.010105200950899064,0.010105200950899064,117,138
Country version_Denmark,-0.009558933205683674,0.009558933205683674,116,139
Roof rack,0.009378345132818615,0.009378345132818615,83,140
Central door lock with remote control,0.009324170935735999,0.009324170935735999,84,141
Sliding door,0.009286993326715785,0.009286993326715785,85,142
Paint Type_Uni/basic,-0.009008262394795963,0.009008262394795963,115,143
Upholstery Color_Grey,-0.008779487213027208,0.008779487213027208,114,144
Head airbag,0.008261028677152208,0.008261028677152208,86,145
Country version_Poland,-0.00808269972366415,0.00808269972366415,113,146
Sport suspension,0.007995032604117864,0.007995032604117864,87,147
Country version_Spain,0.007880528943928648,0.007880528943928648,88,148
Body Color_Blue,-0.007834155898960438,0.007834155898960438,112,149
Auxiliary heating,0.007753478244122391,0.007753478244122391,89,150
Armrest,0.007323772461518847,0.007323772461518847,90,151
Leather steering wheel,-0.007319126183169891,0.007319126183169891,111,152
Windshield,0.006989220970255122,0.006989220970255122,91,153
Warranty (months),-0.0069525956704226295,0.0069525956704226295,110,154
Country version_Other,-0.006941400653277829,0.006941400653277829,109,155
Drive chain_rear,0.006619135606179168,0.006619135606179168,92,156
Body Color_White,0.005867696160821341,0.005867696160821341,93,157
Paint Type_Perl effect,0.005835077127285921,0.005835077127285921,94,158
Voice Control,-0.0058244245677434615,0.0058244245677434615,108,159
Light sensor,-0.005244643934474633,0.005244643934474633,107,160
Upholstery Material_Velour,0.004119485629961013,0.004119485629961013,95,161
KM,0.004118770012335554,0.004118770012335554,96,162
Emission Class_Euro 6c,-0.003952670113021246,0.003952670113021246,106,163
Electric Starter,-0.0035939754791326248,0.0035939754791326248,105,164
Country version_France,0.003040211221085522,0.003040211221085522,97,165
Heated steering wheel,-0.003009929643818946,0.003009929643818946,104,166
Body Type_Coupe,-0.0023588851722924683,0.0023588851722924683,103,167
make_model_Renault Clio,0.002326545840228306,0.002326545840228306,98,168
Seat heating,-0.0014052262076271079,0.0014052262076271079,102,169
Winter tyres,-0.0009344548876916222,0.0009344548876916222,101,170
Emission Label_2 (Red),-0.0009095719465608362,0.0009095719465608362,100,171
Fuel_Natural gas,0.00022709382810521804,0.00022709382810521804,99,172
