Player,Hall of Fame,Prediction,Prediction Correct,Prediction Confidence,Adjusted Prediction Score
Curt Schilling,0,1,0,0.805020787477531,-1.2961169365418883
Kevin Brown,0,0,1,0.960155181868706,0.9218979732693279
Tim Wakefield,0,0,1,0.9989589183642013,0.9979189205793749
Eddie Cicotte,0,1,0,0.8325185148316995,-1.3861741550751572
Freddie Fitzsimmons,0,0,1,0.9788299110295664,0.9581079947261488
Dolf Luque,0,0,1,0.8333676036187326,0.6945015627612291
Dutch Leonard (leonadu02),0,0,1,0.9690602130231952,0.9390776964645605
Jesse Haines,1,0,0,0.986450278242645,-1.9461683028899834
Red Ames,0,0,1,0.9225052442968324,0.8510159257551585
Chuck Finley,0,0,1,0.9817432279475036,0.963819765620784
Charlie Root,0,0,1,0.8203659520263816,0.6730002952441515
Liván Hernández,0,0,1,0.9948948270877248,0.9898157169659139
Milt Pappas,0,0,1,0.923849694703142,0.8534982584030888
Silver King,0,0,1,0.981870031743268,0.9640687592355262
Mordecai Brown,1,1,1,0.97780857285107,0.9561096051410464
Whitey Ford,1,1,1,0.7541403889969364,0.5687277263164505
Lee Meadows,0,0,1,0.9875620729337172,0.9752788478971406
Larry French,0,0,1,0.9854694361011954,0.9711500094896081
Orel Hershiser,0,0,1,0.9938925249232474,0.987822351098308
Rick Wise,0,0,1,0.9894606076101164,0.9790322940121808
Tim Hudson,0,0,1,0.9926651965936784,0.9853841925283661
Tom Zachary,0,0,1,0.9940991805122126,0.9882331806950526
George Uhle,0,0,1,0.9640168307059722,0.9293284498843871
Bucky Walters,0,0,1,0.772618477631345,0.596939311977377
Bob Welch,0,0,1,0.9446731513389284,0.8924073628606218
Bullet Joe Bush,0,0,1,0.9273021462034824,0.8598892703535846
Stan Coveleski,1,0,0,0.7474443952092886,-1.1173462478595584
Bill Hutchison,0,0,1,0.8679536402488013,0.7533435216211456
Bill Dinneen,0,0,1,0.85018279997363,0.7228107933710014
Lew Burdette,0,0,1,0.9577722453507528,0.9173276739642225
Murry Dickson,0,0,1,0.9523639571747006,0.9069971069254549
Mike Torrez,0,0,1,0.9969214447433172,0.993852366989103
Doc White,0,0,1,0.7625763815442987,0.5815227376891959
Brickyard Kennedy,0,0,1,0.9407933075026632,0.8850920474418006
Carl Mays,0,0,1,0.7485717440411481,0.5603596559768061
Charles Bender,1,1,1,0.8134710664089979,0.6617351758845923
Danny Darwin,0,0,1,0.9911710386515076,0.9824200278615083
Pink Hawley,0,0,1,0.9996308238557732,0.9992617840025718
Babe Adams,0,0,1,0.5255509479605218,0.2762037989022031
Hal Newhouser,1,1,1,0.6001728250758629,0.3602074199595423
Theodore Breitenstein,0,0,1,0.9755035379402194,0.9516071525338851
Dazzy Vance,1,1,1,0.6296795584805036,0.39649634636820197
Red Donahue,0,0,1,0.9783815001417596,0.95723035981964
Bill Donovan,0,1,0,0.531887826799354,-0.5658093205946791
Ed Walsh,1,1,1,0.98550700063275,0.971224048296159
Mark Langston,0,0,1,0.9429888510316996,0.889227973170085
Rube Waddell,1,1,1,0.8484460848077062,0.7198607588255255
Bump Hadley,0,0,1,0.9864050215132292,0.9729948664665141
George Bradley,0,0,1,0.997281750580996,0.9945708900418959
Bob Shawkey,0,0,1,0.5434939439503139,0.295385667110667
Camilo Pascual,0,0,1,0.9429369087977396,0.8891300139730367
Fernando Valenzuela,0,0,1,0.9813668099834674,0.963080815737127
Guy Hecker,0,0,1,0.9872469152153772,0.9746564716022782
David Cone,0,0,1,0.9602685851919316,0.9221157557065139
Jack Chesbro,1,0,0,0.6959169305498505,-0.9686007484518508
Dave Stieb,0,0,1,0.98198577576101,0.9642960637969525
Jack Stivetts,0,0,1,0.9876056868554934,0.975364992709311
