Model,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Precision,Recall,F1 Score,ROC AUC,Mean Adjusted Prediction Score
Logistic Regression,1117,16,34,48,0.959,0.75,0.585,0.658,0.786,0.869
"Decision Tree (GS for F1, Stratified KFold)",1101,32,32,50,0.947,0.61,0.61,0.61,0.791,0.838
"Random Forest (GS for Recall, Stratified KFold)",1123,10,31,51,0.966,0.836,0.622,0.713,0.807,0.873
"Extra Trees (GS for Recall, Standard KFold)",1110,23,22,60,0.963,0.723,0.732,0.727,0.856,0.85
"Gradient Booster (GS for Recall, Standard KFold)",1114,19,29,53,0.96,0.736,0.646,0.688,0.815,0.884
"Support Vector (no GS, Stratified KFold)",1126,7,54,28,0.95,0.8,0.341,0.479,0.668,0.79
Neural Network,1117,16,26,56,0.965,0.778,0.683,0.727,0.834,0.019
