Model,True Negatives,False Positives,False Negatives,True Positives,Accuracy,Precision,Recall,F1 Score,ROC AUC,Mean Adjusted Prediction Score
Logistic Regression,1117,16,34,48,0.9588477366255144,0.75,0.5853658536585366,0.6575342465753424,0.7856220265644845,0.8685601056847424
"Decision Tree (GS for F1, Stratified KFold)",1101,32,32,50,0.9473251028806584,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.7907562482509203,0.8378886602652035
"Random Forest (GS for Recall, Stratified KFold)",1123,10,31,51,0.9662551440329218,0.8360655737704918,0.6219512195121951,0.7132867132867133,0.8065625470906077,0.8733786419753086
"Extra Trees (GS for Recall, Standard KFold)",1110,23,22,60,0.9629629629629629,0.7228915662650602,0.7317073170731707,0.7272727272727273,0.8557036144059587,0.8499923814958142
"Gradient Booster (GS for Recall, Standard KFold)",1114,19,29,53,0.9604938271604938,0.7361111111111112,0.6463414634146342,0.6883116883116883,0.8147859126428864,0.8842305264345964
"Support Vector (no GS, Stratified KFold)",1126,7,54,28,0.9497942386831276,0.8,0.34146341463414637,0.47863247863247865,0.6676425634512303,0.7897707897900055
Neural Network,1117,16,26,56,0.9654320987654321,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.8344025143693626,0.018854837855853294
