O*NET-SOC Code,Title,Technology Design Combined,Developing Objectives and Strategies Combined,Fluency of Ideas Combined,Writing Combined,Thinking Creatively Combined,Originality Combined
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",1.0336571428571428,2.6142714285714286,2.1607142857142856,2.4971428571428573,3.2577142857142856,2.086428571428572
11-9081.00,Lodging Managers,1.1257142857142857,2.6628857142857143,2.31,2.645714285714285,2.7624571428571425,2.2308
11-9111.00,Medical and Health Services Managers,1.16,2.856342857142857,2.1635714285714283,2.7142857142857144,2.8983428571428576,2.1357142857142857
11-9121.00,Natural Sciences Managers,1.6665142857142858,3.148514285714286,2.2857142857142856,3.057142857142857,2.9352,2.3192
11-9121.01,Clinical Research Coordinators,1.0664285714285715,1.7640285714285715,1.8571428571428568,2.7142857142857144,2.0771714285714284,1.8057142857142856
11-9121.02,Water Resource Specialists,1.2036571428571428,3.228228571428572,2.125,2.7142857142857144,3.0397000000000003,2.125
11-9131.00,Postmasters and Mail Superintendents,1.1408,2.517085714285714,1.8571428571428568,2.205357142857143,2.287414285714286,1.8571428571428568
11-9141.00,"Property, Real Estate, and Community Association Managers",1.0089285714285714,2.3712142857142857,1.8571428571428568,2.4971428571428573,2.309285714285714,1.7200000000000002
11-9151.00,Social and Community Service Managers,1.1408,2.7198857142857147,2.4035714285714285,2.571428571428571,2.6359000000000004,2.4732142857142856
11-9161.00,Emergency Management Directors,1.0357142857142856,2.996142857142857,2.748571428571428,2.821428571428571,2.8057857142857143,2.6185714285714288
11-9171.00,Funeral Home Managers,1.0664285714285715,2.4196428571428568,1.8571428571428568,2.096342857142857,3.350857142857143,1.7734857142857143
11-9179.01,Fitness and Wellness Coordinators,1.231428571428571,2.313542857142857,2.3857142857142857,2.2928571428571427,2.839428571428571,2.1357142857142857
11-9179.02,Spa Managers,1.1734857142857142,2.3445142857142853,2.2071428571428573,2.096342857142857,2.6900857142857144,2.023657142857143
11-9199.01,Regulatory Affairs Managers,1.0664285714285715,3.0585142857142857,2.096342857142857,2.912857142857143,2.6272,1.8914285714285717
11-9199.02,Compliance Managers,1.0803571428571428,2.653928571428572,1.9285714285714288,2.6950857142857143,2.625657142857143,1.8057142857142856
11-9199.08,Loss Prevention Managers,1.12,2.7527714285714286,2.06,2.524285714285714,2.505285714285714,2.2308
11-9199.09,Wind Energy Operations Managers,1.1785714285714286,2.297528571428571,2.0028571428571427,2.571428571428571,3.107671428571429,1.8914285714285717
11-9199.10,Wind Energy Development Managers,1.1071428571428572,2.3464,2.023657142857143,2.596342857142857,2.538457142857143,1.8728571428571428
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,1.1735714285714285,2.7004,2.36,2.6950857142857143,2.5860571428571437,2.096342857142857
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",1.0206285714285714,2.418614285714286,2.086428571428572,2.4522285714285714,3.2403,2.023657142857143
13-1021.00,"Buyers and Purchasing Agents, Farm Products",1.1071428571428572,2.4050714285714285,1.8571428571428568,1.9449142857142856,2.6100000000000003,1.8571428571428568
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",1.0549142857142857,1.8825142857142856,1.8914285714285717,1.9657142857142855,2.130285714285714,1.8914285714285717
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0803571428571428,2.6032857142857138,1.9449142857142856,2.7142857142857144,2.392,1.8571428571428568
13-1031.00,"Claims Adjusters, Examiners, and Investigators",1.0803571428571428,1.7776,1.7200000000000002,2.4522285714285714,1.8495714285714284,1.6063428571428573
13-1032.00,"Insurance Appraisers, Auto Damage",1.0271428571428571,1.7934857142857146,1.5165142857142857,2.2767857142857144,1.886757142857143,1.5165142857142857
13-1041.00,Compliance Officers,1.0271428571428571,1.8714857142857144,1.7857142857142856,2.422142857142857,1.8412857142857144,1.7036571428571428
13-1041.01,Environmental Compliance Inspectors,1.0942857142857143,1.7135714285714283,1.9842857142857144,2.6950857142857143,1.8414285714285712,1.837942857142857
13-1041.03,Equal Opportunity Representatives and Officers,1.0942857142857143,1.9442285714285716,2.071428571428571,2.8020571428571426,2.222857142857143,1.94
13-1041.04,Government Property Inspectors and Investigators,1.0664285714285715,2.506614285714286,2.086428571428572,2.7142857142857144,2.0690857142857144,1.8057142857142856
13-1041.06,Coroners,1.0442857142857145,2.651585714285714,2.044642857142857,2.4971428571428573,2.4935714285714283,1.9085714285714288
13-1041.07,Regulatory Affairs Specialists,1.1257142857142857,2.771071428571428,2.096342857142857,2.765714285714286,1.8414285714285712,1.8728571428571428
13-1041.08,Customs Brokers,1.0942857142857143,1.9081428571428571,1.8571428571428568,2.524285714285714,2.089257142857143,1.8057142857142856
13-1051.00,Cost Estimators,1.0535714285714286,2.3485714285714288,2.0,2.4285714285714284,2.6575,1.8057142857142856
