4MA Error,4MA Squared Error,4MA Absolute Error
30.5,954,30.5
935.25,875427,935.25
99.25,11396,99.25
1348.75,1819891,1348.75
1705.5,2909198,1705.5
-570.0,324916,570.0
1060.75,1125248,1060.75
-2012.25,4049164,2012.25
574.5,330626,574.5
1283.0,1646230,1283.0
-169.75,34568,169.75
2355.75,5550187,2355.75
-807.25,651773,807.25
-64.0,13410,96.5
1436.75,2064604,1436.75
1186.5,1408446,1186.5
-1738.5,3022984,1738.5
922.0,850485,922.0
2074.0,4301594,2074.0
-3413.25,11656441,3413.25
-44.0,2996,44.0
3216.5,10346059,3216.5
755.25,572884,755.25
447.25,203428,447.25
997.75,1002044,997.75
1287.5,1659438,1287.5
-174.25,30566,174.25
2254.75,5083992,2254.75
437.5,192074,437.5
-1438.0,2067982,1438.0
-488.75,240197,488.75
2047.75,4193332,2047.75
968.0,938057,968.0
-1340.75,1797671,1340.75
2590.5,6712058,2590.5
882.25,786628,882.25
951.25,912684,951.25
-1384.5,1917456,1384.5
386.75,150443,386.75
882.25,786628,882.25
719.25,517363,719.25
733.0,537691,733.0
706.25,502619,706.25
733.0,537691,733.0
719.25,517363,719.25
627.0,393452,627.0
706.25,502619,706.25
2848.5,8113985,2848.5
931.25,869000,931.25
-1176.25,1385509,1176.25
739.25,547956,739.25
-444.25,198032,444.25
-162.25,27913,162.25
1879.25,3532127,1879.25
213.75,45748,213.75
-933.5,871646,933.5
1401.5,1966704,1401.5
3053.25,9323084,3053.25
-593.75,353103,593.75
707.0,499889,707.0
882.25,786628,882.25
733.0,537691,733.0
739.25,547956,739.25
739.25,547956,739.25
733.0,537691,733.0
719.25,517363,719.25
739.25,547956,739.25
739.25,547956,739.25
733.0,537691,733.0
719.25,517363,719.25
627.0,393452,627.0
160.75,25975,160.75
627.0,393452,627.0
739.25,547956,739.25
733.0,537691,733.0
1424.0,2028834,1424.0
-3812.0,14545746,3812.0
2798.25,7836539,2798.25
-1234.5,1524596,1234.5
1963.0,3854114,1963.0
-1370.0,1876924,1370.0
5001.0,25010538,5001.0
940.25,884607,940.25
-778.75,606539,778.75
-907.0,824748,907.0
948.25,901186,948.25
-922.5,851132,922.5
-907.0,824748,907.0
-924.5,856092,924.5
-907.0,824748,907.0
-947.75,900249,947.75
-908.0,824902,908.0
-778.75,606539,778.75
-881.25,777144,881.25
689.75,476156,689.75
-631.25,398501,631.25
-981.5,963686,981.5
-111.25,14415,111.25
-924.5,856092,924.5
-778.75,606539,778.75
661.75,439124,661.75
420.5,177216,420.5
4919.5,24201490,4919.5
-924.5,856092,924.5
-922.5,851132,922.5
-881.25,777144,881.25
-872.0,770704,872.0
-881.25,777144,881.25
101.25,13305,101.25
-922.5,851132,922.5
-277.5,77392,277.5
-285.75,82769,285.75
-497.25,249946,497.25
-1816.75,3302875,1816.75
-305.0,102028,305.0
-135.75,18569,135.75
162.5,26788,162.5
1412.75,1996362,1412.75
1864.0,3474584,1864.0
1875.75,3520386,1875.75
848.75,720616,848.75
-1821.5,3320958,1821.5
-924.5,856092,924.5
-947.75,900249,947.75
-947.75,900249,947.75
-947.75,900249,947.75
-922.5,851132,922.5
-145.0,21096,145.0
1001.25,1006495,1001.25
-916.0,839268,916.0
-904.75,818671,904.75
-922.5,851132,922.5
465.75,217189,465.75
1418.0,2010818,1418.0
986.0,972246,986.0
1493.5,2236180,1493.5
2299.75,5289129,2299.75
2592.25,6720083,2592.25
495.0,246378,495.0
248.75,61901,248.75
-30.0,1774,31.0
126.5,16096,126.5
-1015.0,1030760,1015.0
-1626.5,2652308,1626.5
853.5,729230,853.5
2647.5,7009374,2647.5
-940.5,885669,940.5
1679.5,2821138,1679.5
2365.25,5594729,2365.25
576.0,333534,576.0
550.75,313902,550.75
2059.0,4242044,2059.0
-3075.0,9456660,3075.0
676.0,456996,676.0
4388.0,19270648,4388.0
2278.5,5191620,2278.5
1637.5,2681426,1637.5
-590.0,348633,590.0
4802.5,23070508,4802.5
897.0,810276,897.0
453.0,205618,453.0
-186.25,35406,186.25
6.0,302,14.5
-136.25,20225,136.25
64.25,5584,64.25
1163.0,1352936,1163.0
-358.0,142092,358.0
-720.5,519393,720.5
-954.5,911298,954.5
-1357.5,1842978,1357.5
-203.0,45506,203.0
-1798.5,3235294,1798.5
-448.0,203269,448.0
-565.0,320070,565.0
-579.5,342072,579.5
911.25,830436,911.25
-860.0,739800,860.0
675.75,457147,675.75
101.75,10719,101.75
251.5,63736,251.5
936.75,877766,936.75
-807.25,653537,807.25
452.0,205122,452.0
-1179.75,1393341,1179.75
-432.0,189958,432.0
-1341.25,1799796,1341.25
1745.0,3045226,1745.0
-543.0,295380,543.0
-423.5,179363,423.5
-1557.75,2427282,1557.75
352.5,125050,352.5
-897.75,808498,897.75
-2529.75,6403653,2529.75
804.75,650108,804.75
-419.5,176032,419.5
-1719.0,2956662,1719.0
-2317.25,5372986,2317.25
-156.25,26116,156.25
422.75,182416,422.75
-557.75,314110,557.75
2072.5,4296492,2072.5
-566.25,323808,566.25
-229.5,52682,229.5
145.0,23286,145.0
-1124.5,1265429,1124.5
204.5,45251,204.5
309.5,95880,309.5
130.5,37058,141.5
-3274.5,10724400,3274.5
-2477.5,6138316,2477.5
1813.75,3289846,1813.75
-918.75,844113,918.75
2122.75,4507321,2122.75
2104.75,4432808,2104.75
2051.0,4206647,2051.0
-3443.25,11856624,3443.25
-2062.25,4254282,2062.25
-2240.5,5020042,2240.5
-708.0,502214,708.0
-2872.75,8253145,2872.75
