O*NET-SOC Code,Title,Originality Combined,Technology Design Combined,Thinking Creatively Combined,Writing Combined
11-1011.00,Chief Executives,2.6696428571428568,1.0942857142857143,3.110571428571429,2.9522285714285714
11-1011.03,Chief Sustainability Officers,2.645714285714285,1.1408,3.3072142857142857,2.894285714285714
11-1021.00,General and Operations Managers,2.06,1.0442857142857145,2.523571428571429,2.3857142857142857
11-2011.00,Advertising and Promotions Managers,2.524285714285714,1.0803571428571428,3.060928571428572,2.524285714285714
11-2021.00,Marketing Managers,2.4971428571428573,1.0942857142857143,3.206971428571429,2.2471428571428573
11-2022.00,Sales Managers,2.524285714285714,1.0357142857142856,2.809971428571428,2.4971428571428573
11-2033.00,Fundraising Managers,2.3857142857142857,1.0942857142857143,2.600714285714286,2.645714285714285
11-3012.00,Administrative Services Managers,1.8914285714285717,1.0535714285714286,2.4935714285714283,2.4732142857142856
11-3013.00,Facilities Managers,1.75,1.077942857142857,3.1825571428571435,2.205357142857143
11-3013.01,Security Managers,2.2928571428571427,1.0664285714285715,2.9131428571428573,2.524285714285714
11-3021.00,Computer and Information Systems Managers,2.125,1.4285714285714286,2.9165714285714284,2.571428571428571
11-3031.00,Financial Managers,1.837942857142857,1.077942857142857,2.0320428571428573,2.422142857142857
11-3031.01,Treasurers and Controllers,2.125,1.0549142857142857,2.7142285714285714,2.542057142857143
11-3031.03,Investment Fund Managers,2.19,1.1734857142857142,2.8837,2.4522285714285714
11-3051.00,Industrial Production Managers,2.1750857142857143,1.0992,2.648471428571429,2.36
11-3051.01,Quality Control Systems Managers,1.8914285714285717,1.2592,2.611757142857143,2.645714285714285
11-3051.02,Geothermal Production Managers,1.8728571428571428,1.268571428571429,2.7485,2.4035714285714285
11-3051.03,Biofuels Production Managers,2.06,1.1885714285714286,2.7204,2.25
11-3051.04,Biomass Power Plant Managers,1.837942857142857,1.0664285714285715,2.677857142857143,2.1357142857142857
11-3051.06,Hydroelectric Production Managers,1.9842857142857144,1.1734857142857142,2.4805,2.3857142857142857
11-3061.00,Purchasing Managers,2.3392857142857144,1.1734857142857142,2.6521142857142856,2.645714285714285
11-3071.00,"Transportation, Storage, and Distribution Managers",2.044642857142857,1.12,2.701171428571429,2.354914285714286
11-3071.04,Supply Chain Managers,2.044642857142857,1.2208,2.914,2.645714285714285
11-3111.00,Compensation and Benefits Managers,1.9449142857142856,1.0442857142857145,2.5664285714285717,2.765714285714286
11-3121.00,Human Resources Managers,2.571428571428571,1.0357142857142856,2.8252,2.782857142857143
11-3131.00,Training and Development Managers,2.524285714285714,1.0803571428571428,3.3214,2.6950857142857143
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",2.1635714285714283,1.1408,2.922285714285714,2.1635714285714283
11-9021.00,Construction Managers,1.9842857142857144,1.1071428571428572,2.369814285714286,2.524285714285714
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",2.125,1.0664285714285715,2.790057142857143,2.571428571428571
11-9032.00,"Education Administrators, Kindergarten through Secondary",2.645714285714285,1.1071428571428572,3.247342857142857,3.44
11-9033.00,"Education Administrators, Postsecondary",2.645714285714285,1.0664285714285715,3.0925857142857143,2.821428571428571
11-9041.00,Architectural and Engineering Managers,2.4971428571428573,1.22,3.3828,2.765714285714286
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,2.4714285714285715,1.2592,3.4095,2.4522285714285714
